PULocationID,trip_distance,fare_amount,year
114,0.65,5.0,2018
7,0.7,4.5,2018
228,9.6,30.0,2018
142,5.7,19.0,2018
90,1.0,6.0,2018
107,1.0,6.5,2018
264,2.9,15.0,2018
237,3.44,15.5,2018
170,0.53,3.5,2018
230,3.5,17.0,2018
48,3.86,14.5,2018
137,1.6,9.0,2018
186,0.29,5.5,2018
138,12.6,36.5,2018
164,0.9,7.0,2018
48,0.6,5.5,2018
79,1.21,6.5,2018
211,0.68,5.5,2018
107,3.0,13.0,2018
238,0.47,4.5,2018
114,1.22,8.5,2018
114,1.44,8.5,2018
138,7.32,22.0,2018
148,2.8,11.5,2018
158,1.1,5.5,2018
43,1.82,9.5,2018
163,0.7,6.0,2018
161,1.17,8.5,2018
140,6.01,19.0,2018
238,0.3,3.5,2018
234,6.54,23.0,2018
263,1.31,7.5,2018
107,1.56,8.5,2018
164,0.6,6.0,2018
79,1.41,10.5,2018
224,0.9,5.5,2018
100,2.9,13.5,2018
140,0.6,6.5,2018
249,3.2,14.5,2018
132,9.8,27.5,2018
79,1.7,9.0,2018
151,3.3,15.0,2018
142,2.5,12.5,2018
237,2.59,12.5,2018
234,2.25,13.0,2018
138,11.06,32.0,2018
263,0.74,4.5,2018
138,15.7,52.5,2018
43,1.93,11.0,2018
239,0.9,6.0,2018
233,1.14,10.0,2018
238,2.74,12.5,2018
237,1.3,7.0,2018
264,2.5,12.0,2018
138,9.6,27.5,2018
170,2.2,11.5,2018
48,0.91,6.0,2018
113,0.69,4.5,2018
113,0.66,6.0,2018
161,1.9,9.0,2018
263,0.5,4.0,2018
264,1.1,8.5,2018
113,2.1,10.5,2018
100,0.6,4.5,2018
43,0.87,5.0,2018
239,0.7,5.5,2018
238,6.14,29.0,2018
107,1.6,8.0,2018
141,0.7,4.5,2018
75,4.89,16.5,2018
141,0.61,6.5,2018
163,0.8,7.0,2018
161,4.12,16.5,2018
79,0.94,6.5,2018
246,2.34,9.0,2018
264,2.5,14.0,2018
161,2.72,18.0,2018
162,4.08,15.5,2018
161,1.12,7.5,2018
264,0.0,70.0,2018
234,9.5,30.0,2018
170,0.4,4.5,2018
237,1.1,6.0,2018
162,6.9,24.5,2018
161,0.54,4.0,2018
87,4.7,16.0,2018
138,9.23,28.0,2018
249,0.51,5.5,2018
50,3.94,15.5,2018
138,11.3,36.0,2018
229,2.1,11.0,2018
114,11.5,36.5,2018
75,1.7,8.0,2018
264,0.9,7.5,2018
237,0.78,6.0,2018
166,5.24,18.5,2018
170,5.01,17.5,2018
90,1.12,6.5,2018
161,1.7,9.5,2018
231,2.36,11.5,2018
166,6.8,25.5,2018
100,4.3,17.5,2018
142,3.75,14.5,2018
142,1.7,9.5,2018
170,2.1,10.0,2018
140,2.06,11.0,2018
158,1.47,7.5,2018
113,5.43,22.0,2018
264,0.88,6.0,2018
113,1.02,6.5,2018
68,1.6,10.0,2018
234,0.9,6.0,2018
162,0.8,8.0,2018
232,1.9,10.0,2018
234,0.33,4.0,2018
161,2.95,14.0,2018
162,1.4,6.5,2018
43,0.8,6.0,2018
50,1.58,8.5,2018
238,0.19,2.5,2018
186,0.5,4.5,2018
79,1.4,8.0,2018
138,11.2,34.0,2018
234,2.1,20.0,2018
236,0.92,9.0,2018
88,2.46,12.0,2018
148,1.36,7.0,2018
264,4.3,15.5,2018
236,0.3,3.5,2018
132,18.4,52.0,2018
144,0.91,8.5,2018
132,19.68,52.0,2018
88,4.12,15.0,2018
234,1.4,8.5,2018
162,2.73,14.0,2018
68,2.7,11.0,2018
249,0.9,5.5,2018
162,2.08,8.0,2018
137,0.69,4.5,2018
43,2.43,9.0,2018
25,0.5,5.5,2018
143,2.7,13.0,2018
224,2.4,10.5,2018
229,2.72,15.5,2018
229,1.0,5.0,2018
142,1.9,9.5,2018
236,1.74,10.0,2018
170,1.48,9.5,2018
162,1.7,9.5,2018
75,1.21,6.5,2018
162,0.97,7.5,2018
233,6.75,20.5,2018
230,0.82,5.5,2018
164,2.56,11.0,2018
230,2.53,12.0,2018
100,12.41,37.5,2018
249,2.43,10.5,2018
87,3.14,18.0,2018
230,1.16,10.5,2018
100,2.54,10.0,2018
48,1.84,8.5,2018
79,2.7,15.5,2018
231,2.0,9.0,2018
48,0.8,5.5,2018
170,0.38,5.0,2018
48,0.9,8.0,2018
48,0.8,4.5,2018
170,1.02,6.5,2018
45,6.0,22.5,2018
140,0.9,6.5,2018
162,1.03,6.5,2018
163,3.7,16.0,2018
230,1.61,9.0,2018
144,0.33,3.5,2018
48,1.2,6.0,2018
161,2.02,10.0,2018
234,0.0,2.5,2018
24,1.9,8.5,2018
237,8.18,25.5,2018
164,2.8,12.0,2018
161,1.23,7.5,2018
186,1.73,8.5,2018
249,0.7,5.0,2018
186,2.17,9.5,2018
170,1.09,7.0,2018
238,3.01,12.5,2018
100,3.14,13.5,2018
161,0.7,7.5,2018
142,2.12,11.5,2018
142,2.0,8.5,2018
236,2.04,13.5,2018
142,0.5,5.5,2018
236,0.74,5.0,2018
48,2.66,12.0,2018
83,2.0,12.5,2018
79,5.2,22.0,2018
170,4.9,23.0,2018
48,5.5,19.0,2018
68,1.1,5.5,2018
163,2.2,11.0,2018
113,3.5,16.5,2018
249,0.65,6.0,2018
41,0.85,5.0,2018
237,1.4,7.5,2018
48,0.56,4.5,2018
264,0.92,6.5,2018
97,0.8,7.5,2018
142,0.0,2.5,2018
140,4.8,25.5,2018
100,3.19,14.5,2018
68,1.7,7.5,2018
264,1.18,7.5,2018
246,0.7,5.0,2018
141,1.1,7.0,2018
68,4.76,22.0,2018
230,0.8,8.5,2018
234,10.16,34.5,2018
170,0.9,5.0,2018
132,22.0,52.0,2018
79,1.1,7.5,2018
142,1.5,10.5,2018
163,11.58,33.5,2018
186,1.16,9.0,2018
48,0.78,11.0,2018
239,0.7,5.0,2018
158,1.11,9.0,2018
239,0.77,5.0,2018
170,5.8,17.5,2018
90,0.3,4.0,2018
141,0.5,5.0,2018
87,2.06,9.5,2018
170,2.07,13.0,2018
151,0.8,4.5,2018
138,12.3,38.0,2018
236,0.26,3.0,2018
87,4.89,16.0,2018
162,5.6,21.0,2018
239,0.76,7.5,2018
100,0.87,4.5,2018
132,10.24,31.5,2018
162,1.1,8.0,2018
229,1.7,9.0,2018
79,3.4,11.0,2018
68,9.3,27.5,2018
231,2.0,11.0,2018
141,0.93,5.5,2018
48,1.2,15.0,2018
238,0.5,4.5,2018
230,8.9,29.0,2018
239,4.2,16.0,2018
158,1.3,7.0,2018
45,1.6,8.5,2018
231,2.1,9.5,2018
246,11.99,100.0,2018
162,2.1,12.0,2018
148,11.4,39.0,2018
211,1.45,8.0,2018
48,1.54,9.5,2018
107,3.6,12.5,2018
238,1.0,5.5,2018
264,0.5,4.5,2018
132,10.3,30.5,2018
163,1.05,8.0,2018
186,1.47,10.5,2018
237,3.9,14.0,2018
170,1.3,12.0,2018
162,2.03,13.0,2018
143,0.61,5.5,2018
249,1.6,9.0,2018
163,0.6,10.0,2018
170,1.79,9.0,2018
234,1.14,7.5,2018
79,1.7,10.0,2018
239,1.74,8.0,2018
107,1.4,13.5,2018
